# 2017-08-14
# infinite alleles model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# N_mu_list="[0.5,1.0,2.0,4.0]"
# ngens=400000
# burn_in=2.0
# dfe=dfe_mixd
# dfe_str=dfe_mixd advprob=0.01 alpha_adv=1.0 alpha_disadv=0.2 beta_adv=0.005 beta_disadv=0.5
# dfe_adv_prob=0.01
# dfe_adv_alpha=1.0
# dfe_disadv_alpha=0.2
type,N,N_mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
M1,25,0.5
M1,50,0.5
M1,100,0.5
M1,200,0.5
M1,400,0.5
M1,800,0.5
M1,1600,0.5
M1,3200,0.5
M1,6400,0.5
M1,25,1.0
M1,50,1.0
M1,100,1.0
M1,200,1.0
M1,400,1.0
M1,800,1.0
M1,1600,1.0
M1,3200,1.0
M1,6400,1.0
M1,25,2.0
M1,50,2.0
M1,100,2.0
M1,200,2.0
M1,400,2.0
M1,800,2.0
M1,1600,2.0
M1,3200,2.0
M1,6400,2.0
M1,25,4.0
M1,50,4.0
M1,100,4.0
M1,200,4.0
M1,400,4.0
M1,800,4.0
M1,1600,4.0
M1,3200,4.0
M1,6400,4.0
